SYMBOL,Geneid,,,,,,,,,,,
SAMD11,ENSG00000187634,,,,,,,,,,,
NOC2L,ENSG00000188976,,,,,,,,,,,
HES4,ENSG00000188290,,,,,,,,,,,
UBE2J2,ENSG00000160087,,,,,,,,,,,
MXRA8,ENSG00000162576,,,,,,,,,,,
AURKAIP1,ENSG00000175756,,,,,,,,,,,
MRPL20,ENSG00000242485,,,,,,,,,,,
VWA1,ENSG00000179403,,,,,,,,,,,
ATAD3B,ENSG00000160072,,,,,,,,,,,
ATAD3A,ENSG00000197785,,,,,,,,,,,
SSU72,ENSG00000160075,,,,,,,,,,,
FNDC10,ENSG00000228594,,,,,,,,,,,
GPR153,ENSG00000158292,,,,,,,,,,,
HES2,ENSG00000069812,,,,,,,,,,,
NOL9,ENSG00000162408,,,,,,,,,,,
KLHL21,ENSG00000162413,,,,,,,,,,,
VAMP3,ENSG00000049245,,,,,,,,,,,
ERRFI1,ENSG00000116285,,,,,,,,,,,
GPR157,ENSG00000180758,,,,,,,,,,,
SPSB1,ENSG00000171621,,,,,,,,,,,
DFFA,ENSG00000160049,,,,,,,,,,,
SRM,ENSG00000116649,,,,,,,,,,,
MTOR,ENSG00000198793,,,,,,,,,,,
FBXO6,ENSG00000116663,,,,,,,,,,,
NPPB,ENSG00000120937,,,,,,,,,,,
MFN2,ENSG00000116688,,,,,,,,,,,
MIIP,ENSG00000116691,,,,,,,,,,,
TNFRSF8,ENSG00000120949,,,,,,,,,,,
TNFRSF1B,ENSG00000028137,,,,,,,,,,,
PRAMEF12,ENSG00000116726,,,,,,,,,,,
PRAMEF14,ENSG00000204481,,,,,,,,,,,
PRAMEF19,ENSG00000204480,,,,,,,,,,,
KAZN,ENSG00000189337,,,,,,,,,,,
TMEM51,ENSG00000171729,,,,,,,,,,,
EFHD2,ENSG00000142634,,,,,,,,,,,
UQCRHL,ENSG00000233954,,,,,,,,,,,
SZRD1,ENSG00000055070,,,,,,,,,,,
NECAP2,ENSG00000157191,,,,,,,,,,,
ATP13A2,ENSG00000159363,,,,,,,,,,,
SDHB,ENSG00000117118,,,,,,,,,,,
EMC1,ENSG00000127463,,,,,,,,,,,
MRTO4,ENSG00000053372,,,,,,,,,,,
CDA,ENSG00000158825,,,,,,,,,,,
PINK1,ENSG00000158828,,,,,,,,,,,
NBPF3,ENSG00000142794,,,,,,,,,,,
ZBTB40,ENSG00000184677,,,,,,,,,,,
ZNF436,ENSG00000125945,,,,,,,,,,,
E2F2,ENSG00000007968,,,,,,,,,,,
ELOA,ENSG00000011007,,,,,,,,,,,
PITHD1,ENSG00000057757,,,,,,,,,,,
GALE,ENSG00000117308,,,,,,,,,,,
FUCA1,ENSG00000179163,,,,,,,,,,,
CNR2,ENSG00000188822,,,,,,,,,,,
GRHL3,ENSG00000158055,,,,,,,,,,,
LDLRAP1,ENSG00000157978,,,,,,,,,,,
MAN1C1,ENSG00000117643,,,,,,,,,,,
SLC30A2,ENSG00000158014,,,,,,,,,,,
ZNF593,ENSG00000142684,,,,,,,,,,,
SFN,ENSG00000175793,,,,,,,,,,,
NUDC,ENSG00000090273,,,,,,,,,,,
SLC9A1,ENSG00000090020,,,,,,,,,,,
MAP3K6,ENSG00000142733,,,,,,,,,,,
TMEM200B,ENSG00000253304,,,,,,,,,,,
PTPRU,ENSG00000060656,,,,,,,,,,,
FABP3,ENSG00000121769,,,,,,,,,,,
TINAGL1,ENSG00000142910,,,,,,,,,,,
EIF3I,ENSG00000084623,,,,,,,,,,,
SYNC,ENSG00000162520,,,,,,,,,,,
RNF19B,ENSG00000116514,,,,,,,,,,,
